Episode ,Timeslot,Character,Duration,# of words,Sentence,Label,Notes
208 - Gifted,1:21 - 1:24,Daria,3 sec.,7,"""And why study when you can network?""",Sarcastic,
208 - Gifted,15:50 - 15:51,Daria,1 sec.,3,"""That's a relief. """,Ambiguous,
208 - Gifted,15:51 - 15:54,Daria,3 sec.,12,"""For a minute there I thought you were going to threaten us.""",Ambiguous,
207 - The New Kid,9:17-9:19,Daria,2 sec.,6,"""Sure, I did the right thing.""",Sarcastic,
204 - I Don't,13:06 - 13:09,Daria,3 sec.,7,"""Well, not to formal occasions like this.""",Ambiguous,
204 - I Don't,13:53-13:56,Daria,3 sec.,5,"""Thank you for respecting it.""",Ambiguous,
108 - The Pinch Sitter,3:59-4:04,Daria,5 sec,11,"""Oooh, I could make a downpayment on that isolated mountain cabin.""",Sarcastic,
108 - The Pinch Sitter,6:25-6:28,Daria,3 sec.,9,"""Unless I pick up somebody on the way over.""",Sarcastic,
113 - The Misery Chick,7:02-7:06,Daria,4 sec.,14,"""Congratulations, you must have worked very hard to become a colossel jerk so quickly.""",Sarcastic,
113 - The Misery Chick,14:03-14:06,Daria,3 sec.,8,"""Need help filling out your picture order form?""",Sarcastic,
307 - It Happened One Nut,2:15-2:17,Daria,2 sec.,11,"""So your head would serve as sort of an accent piece.""",Sarcastic,
307 - It Happened One Nut,3:04 - 3:08,Daria,4 sec.,12,"""I guess I'll just wait around for people to kick the bucket.""",Sarcastic,
307 - It Happened One Nut,3:09-3:12,Daria,3 sec.,10,"""You want me to kill people to drum up business?""",Sarcastic,
307 - It Happened One Nut,6:46 - 6:49,Daria,2 sec.,6,"""Where do you stand on vandalism?""",Ambiguous,
307 - It Happened One Nut,9:42-9:45,Daria,3 sec.,11,"""I'm so happy you were here to share it with me.""",Sarcastic,*background noise
307 - It Happened One Nut,17:02 - 17:05,Daria,3 sec.,5,"""We're just nuts about humiliation.""  ",Sarcastic,*background noise
302 - Through A Lense Darkly,2:03 - 2:07,Daria,4 sec.,11,"""That's really strange.  I was thinking about your high frequency hearing.""",Sarcastic,normalise
302 - Through A Lense Darkly,17:35 - 17:36,Daria,1 sec.,5,"""Thanks for respecting my confidence.""",Sarcastic,normalize
313 - Jane's Addiction,2:17 - 2:20,Daria,3 sec.,10,"""We do the whole thing while walking over hot coals?""",Sarcastic,
313 - Jane's Addiction,1:21-1:23,Daria,2 sec.,5,"""Let's ask our inspiring instructor.""",Sarcastic,
313 - Jane's Addiction,1:56-1:59,Daria,3 sec.,8,"""That's the nastiest name anyone's every called me.""",Ambiguous,
313 - Jane's Addiction,8:04  - 8:06,Daria,2 sec.,4,"""It spoils my dinner.""",Ambiguous,
313 - Jane's Addiction,15:28 - 15:30,Daria,2 sec.,3,"""Yeah, pretty stupid.""",Ambiguous,
406 - I Loathe A Parade,:34-:37,Daria,3 sec.,8,"""Did you look under the Teenage Superstars magazine?""",Sarcastic,
406 - I Loathe A Parade,:55 - :58,Daria,3 sec.,9,"""I've plastered my walls with its hot sexy pinups.""",Sarcastic,*volume (quiet)
406 - I Loathe A Parade,:55-:59,Daria,4 sec.,9,"""There's a knob on the door.  Turn it counterclockwise.""",Sarcastic,
406 - I Loathe A Parade,14:28 - 14:31,Daria,3 sec.,13,"""I hear uncut diamonds are as good as cash on the open market.""",Ambiguous,
406 - I Loathe A Parade,17:26 - 17:29,Daria,3 sec.,8,"""I've always wanted an amazing technicolor dream coat.""",Sarcastic,
403 - A Tree Grows in Lawndale,1:41 - 1:44,Daria,3 sec.,11,"""Maybe she can get a new family to go with it.""",Sarcastic,
403 - A Tree Grows in Lawndale,1:48 - 1:50,Daria,2 sec.,5,"""A salesman's gotta dream, boy.""",Sarcastic,
403 - A Tree Grows in Lawndale,2:57 - 3:00,Daria,3 sec.,11,"""I'm sure the guys in woodshop can come up with something.""",Ambiguous,
403 - A Tree Grows in Lawndale,7:24 - 7:27,Daria,3 sec.,11,"""I guess now we'll have to plant something to memorialize it.""",Sarcastic,
403 - A Tree Grows in Lawndale,17:12 - 17:16,Daria,4 sec.,7,"""That's sure to appiese Tommy's restless bathroom spirit.""",Sarcastic,
412 - Fire,1:37 - 1:40,Daria,3 sec.,10,"""Trying to find out if these blankets are flame retartant?"" ",Sarcastic,
412 - Fire,6:07 - 6:12,Daria,5 sec,18,"""No, I'm gonna stick it in my boots 'cause I love the sqiushy squishy feeling around my toes.""",Sarcastic,
412 - Fire,7:43 - 7:48,Daria,5 sec,19,"""And if I mistook him for a burgular and shot him, what kind of guest would that make me?""",Sarcastic,normalize
