File,Text,Initial Label,Turks Label
clip_1,You sure know a lot.,1,3
clip_10,It was like watching paint dry.,1,1
clip_100,For sure,1,3
clip_101,okay great,1,4
clip_102,Those lights are a hundred times brighter than the sun.,1,1
clip_103,Thanks for holding the door.,1,4
clip_104,Harden is a great defensive player,1,3
clip_105,If he knows whats going on he will have no problem with this.,1,99
clip_106,Is that so,1,99
clip_107,It's just a real mellow flavor,1,2
clip_108,There was one bug that was the size of a horse,1,2
clip_109,No its great you should be very proud,1,3
clip_11,After ten years I was finally able to finish the book,1,1
clip_110,Really?,1,3
clip_111,The line wrapped around the plug.,1,2
clip_112,Tyler is just going to write the whole script himself,1,4
clip_113,We should just all walk there instead.,1,3
clip_114,Yep. It was just a tiny little thing.,1,1
clip_115,You could make it to the NBA.,1,4
clip_116,Is that so?,1,3
clip_117,Is that so,1,1
clip_118,It was like watching paint dry.,1,1
clip_119,It's just a real mellow flavor,1,4
clip_12,Oh yeah just a slight breeze.,1,3
clip_120,Its just a real mellow flavor,1,4
clip_121,Just a quick little detour.,1,1
clip_122,"After ten years, I was finally able to finish that book.",1,4
clip_123,I'd say it's a little chilly.,1,1
clip_124,There was just a handful of people who came out today.,1,4
clip_125,I really appreciate all of your wonderful help,1,3
clip_126,No don't worry you smell great.,1,3
clip_127,"Yes, you should totally try out.",1,3
clip_128,Houston will for sure make the finals this year,1,3
clip_129,"Yeah,  she really likes my idea,  said it was the best one ever.",1,3
clip_13,Id say its a little chilly,1,3
clip_130,i saw the sheet and I am thrilled about the changes,1,3
clip_131,Yeah right.,1,3
clip_132,Of course.,1,3
clip_133,I swear there was like thousands of boxes,1,1
clip_134,"No, it's all good. I don't need any assistance.",1,3
clip_135,Nah it's all good I don't need any assistance,1,3
clip_136,no its all good I don't need any assistance,1,3
clip_137,No its great you should be very proud.,1,4
clip_138,"No, it's great. You should be very proud.",1,3
clip_139,No problem,1,3
clip_14,Just a quick little detour,1,4
clip_140,No problem.,1,3
clip_141,no problem,1,3
clip_142,"no worries, that was just a little peep",1,4
clip_143,no worries that was just a little peep,1,3
clip_144,"No worries, that was just a little peep",1,4
clip_145,Oh boy!,1,3
clip_146,Oh yeah just a slight breeze.,1,3
clip_147,"Please, don't get up.",1,3
clip_148,Please don't get up,1,3
clip_149,Please don't get up.,1,3
clip_15,There was just a handful of people who came out today.,1,1
clip_150,Really? The line wrapped around the block.,1,3
clip_151,Really,1,1
clip_152,Really,1,99
clip_153,That room was hotter than hell itself.,1,4
clip_154,The assignment took a few seconds to finish up eh,1,99
clip_155,he was just a wee lad,1,99
clip_156,i can see how that would be a problem,1,1
clip_157,i'm so lucky to have you as a friend,1,1
clip_158,Yeah I haven't talked to George in weeks.,1,4
clip_159,It's a nice cool day,1,4
clip_16,Nah don't worry you smell great,1,3
clip_160,The other team was unbelievable I'll be surprised if they don't win.,1,4
clip_161,Steph is just way ahead of the curve on this one.,1,3
clip_162,for sure,1,4
clip_163,Ok great.,1,1
clip_164,Those lights are one hundred times brighter than the sun.,1,1
clip_165,"Since you're so enthusiastic, can you show the plans to the principal?",1,3
clip_166,"So, true.",1,3
clip_167,So true,1,4
clip_168,So true.,1,3
clip_169,Thanks for holding the door,1,3
clip_17,Yes you should totally try out!,1,3
clip_170,That was the hardest thing I've ever done in my life.,1,1
clip_171,That was the hardest thing I've ever done in my life.,1,3
clip_172,The band is going to have a breakup now,1,4
clip_173,The band is going to have to break up now.,1,1
clip_174,The band is going to have to break up now.,1,3
clip_175,Crowd was like a stampede of people.,1,2
clip_176,The crowd was like a stampede of people.,1,1
clip_177,The crowd was like a stampede of people.,1,3
clip_178,That was the hardest thing I have ever done in my life,1,4
clip_179,The line wrapped around the block,1,2
clip_18,Houston will for sure make it to the finals this year.,1,3
clip_180,the line wrapped around the block,1,2
clip_181,There was one bug the size of a horse,1,1
clip_182,There was one bug that was the size of a horse,1,1
clip_183,Tyler is going to write a whole script himself,1,4
clip_184,Tyler is just going to write the whole script himself,1,4
clip_185,Tyler is just going to write the whole script himself,1,3
clip_186,We should all just walk there instead.,1,4
clip_187,We should all just walk there instead.,1,1
clip_188,Yep it was just the tiny little thing,1,1
clip_189,Yep. It was just a tiny little thing.,1,4
clip_19,Yeah she really likes my idea. Said it was the best one ever.,1,3
clip_190,he could make it to the nba,1,4
clip_191,You can make it to the NBA,1,99
clip_192,You know what I think you should give it another shot,1,4
clip_193,You sure know a lot,1,3
clip_194,I can see how that would be a problem.,1,4
clip_195,I am so lucky to have you as a friend,1,4
clip_196,"yeah, I haven't talked to george in weeks",1,4
clip_197,It's a nice cool day.,1,4
clip_198,The other team was unbelievable. I'll be surprised if they don't win.,1,4
clip_199,steph is just way ahead of the curve on this one,1,4
clip_2,Since you're so enthusiastic can you present the plan to the principal,1,3
clip_20,I saw the sheet and I'm thrilled about the changes,1,3
clip_200,for sure,1,4
clip_201,OK Great,1,4
clip_202,Those lights are a hundred times brighter than the sun.,1,4
clip_203,That room was hotter than hell itself.,1,4
clip_204,He was just a wee lad,1,1
clip_205,the assignment took a few seconds to finish up.,1,2
clip_206,thanks for holding the door,1,4
clip_207,Why don't we try something else?,1,4
clip_208,I prefer the morning shifts to the ones in the afternoon.,1,4
clip_209,like you said we need to be careful,1,4
clip_21,Yeah right.,1,3
clip_210,you sure know a lot,1,4
clip_211,Since youre so enthusiastic can you present the plan to the principal,1,4
clip_212,Know what? I think you should give it another shot!,1,4
clip_213,If Alice is so brilliant then she would be perfect for our plan,1,3
clip_214,Bethany said that my plan sounds fantastic.,1,4
clip_215,I suppose.,1,2
clip_216,oh boy,1,4
clip_217,Do you know what this means,1,4
clip_218,Am I saying that right?,1,4
clip_219,Took a quick walk around campus to clear my mind.,1,4
clip_22,Of course,1,3
clip_220,Don't just stand there come and help.,1,4
clip_221,I can see how that would be a problem.,1,4
clip_222,I am so lucky to have you as a friend.,1,4
clip_223,Yeah. I haven't talked to George in weeks.,1,4
clip_224,Its a nice cool day,1,4
clip_225,The other team was unbelievable. I'd be surprised if they don't win.,1,4
clip_226,Steph is just way ahead of the curve on this one.,1,4
clip_227,For Sure,1,4
clip_228,Okay great,1,4
clip_229,Is it likely that you will be here next week?,1,4
clip_23,I swear there was like thousands of boxes.,1,1
clip_230,All of the Lights is Kanye's best song.,1,2
clip_231,Am I saying that right?,1,4
clip_232,I really appreciate all your wonderful help.,1,4
clip_233,Are you planning on picking up another copy?,1,2
clip_234,Are you planning on picking up another copy?,1,4
clip_235,Are you planning on picking up another copy?,1,4
clip_236,Are you planning on picking up another copy,1,2
clip_237,Arthur made some great points I think I've changed my mind,1,4
clip_238,am I saying that right,1,4
clip_239,Took a quick walk around campus to clear my mind.,1,4
clip_24,you know what I think you should give it another shot,1,4
clip_240,Don't just stand there. Come and help.,1,4
clip_241,I'm so lucky to have you as a friend,1,4
clip_242,"Yea, I haven't talked to George in weeks",1,4
clip_243,It's a nice cold day,1,2
clip_244,The other time was unbelievable I'll be surprised if they don't win,1,4
clip_245,Steph is just way ahead of the curve on this one,1,4
clip_246,for sure,1,4
clip_247,okay great,1,4
clip_248,Is it likely that you'll be here next week,1,4
clip_249,I can see how that would be a problem,1,2
clip_25,"You know what,  I think you should give it another shot.",1,4
clip_250,Can you get me one as well?,1,4
clip_251,Can you get me one as well?,1,2
clip_252,Can you get me one as well?,1,4
clip_253,Can you please get me one as well?,1,4
clip_254,Could I take a quick look at the code,1,4
clip_255,Darren wants to do the full marathon not just half.,1,2
clip_256,Did I need a response,1,3
clip_257,Did I need a response?,1,4
clip_258,Did I need a response?,1,4
clip_259,Did I need a response?,1,3
clip_26,You know what I think you should give it another shot.,1,4
clip_260,Did you get the assignment done on time?,1,4
clip_261,Did you hear that? I finally get closure. Did you hear that? I finally get closure.,2,4
clip_262,Do you know what this means?,2,4
clip_263,"Don't just stand there, come and help.",2,4
clip_264,"Since you're so enthusiastic, can you present the plan to the principal?",2,3
clip_265,for sure,2,4
clip_266,Harden is a great defensive player.,2,4
clip_267,Harden is a great defensive player.,2,4
clip_268,Harden is a great defensive player.,2,4
clip_269,Harden is a great defensive player.,2,4
clip_27,If Alice is so brilliant then shell be perfect for our plan,1,3
clip_270,Houston will for sure make the finals this year,2,3
clip_271,Housten will for sure make the finals this year.,2,4
clip_272,Houston will for sure make the finals this year,2,4
clip_273,How did Andrew do this again,2,4
clip_274,How did Andrew do this again?,2,4
clip_275,How did Andrew do this again?,2,4
clip_276,I am so lucky to have you as a friend.,2,4
clip_277,I can see how that would be a problem.,2,4
clip_278,I hope you don't mind waiting I just have to run to the bathroom,2,4
clip_279,I hope you dont mind waiting I just had to run to the bathroom,2,4
clip_28,if alice is so brillant then she will be perfect for our plan,1,3
clip_280,I hope you don't mind waiting. I just have to run to the bathroom.,2,4
clip_281,I prefer the morning shift to the one in the afternoon.,2,4
clip_282,I really appreciate all of your wonderful help.,2,4
clip_283,I really appreciate all of your wonderful help.,2,4
clip_284,I saw the sheet and i'm thrilled about the changes,2,4
clip_285,I saw the script and I'm thrilled about the changes.,2,4
clip_286,I suppose.,2,3
clip_287,If he knows what's going on he'll have no problem with this.,2,4
clip_288,"If he knows what is going on,  he'll have no problem with this.",2,4
clip_289,If he knows what is going on he'll have no problem with this,2,4
clip_29,Bethany said that my plan sounds fantastic,1,3
clip_290,If he knows what is going on hell have no problem with this,2,4
clip_291,I'm not sure you understand what I am saying.,2,4
clip_292,I'm not sure you understand what I'm saying.,2,4
clip_293,I'm not sure you understand what I am saying.,2,4
clip_294,I'm not sure you understand what I'm saying.,2,4
clip_295,Is it likely you will be here next week?,2,4
clip_296,is that so?,2,3
clip_297,Is that so?,2,3
clip_298,Is that so?,2,3
clip_299,Is that so?,2,3
clip_3,You know what I think you should give it another shot,1,4
clip_30,Bethany said that my plan sounds fantastic,1,3
clip_300,Is that so?,2,4
clip_301,It isn't the ost creative album but it had some pleasant songs.,2,4
clip_302,It wasn't the most creative album but it had some pleasant songs,2,4
clip_303,It wasnt the most creative album but it had some pleasant songs,2,4
clip_304,It's a nice cool day.,2,4
clip_305,Like you said we need to be careful,2,4
clip_306,"Nah, it's all good. I don't need any assistance.",2,4
clip_307,Could I take a quick look at the code,2,4
clip_308,All of the Lights is Kanye's best song,2,4
clip_309,The traffic moved along at a decent pace so I was still on time.,2,4
clip_31,Bethany said that my plan sounds fantastic,1,3
clip_310,Please don't get up,2,4
clip_311,The band is going to have to break up now.,2,4
clip_312,Darren wants to do the full marathon not just the half,2,4
clip_313,Did you hear that? I finally get closure!,2,4
clip_314,Arthur made some great points I think I've changed my mind,2,4
clip_315,No problem!,2,4
clip_316,so true,2,99
clip_317,Did you get the assignment done in time?,2,4
clip_318,Why don't we try something else,2,4
clip_319,I prefer the morning shifts to the ones in the afternoon.,2,4
clip_32,Bethany said that my plan sounds fantastic.,1,4
clip_320,Like you said we need to be careful.,2,4
clip_321,Thanks for holding the door,2,2
clip_322,You sure know alot.,2,3
clip_323,Since you're so enthusiastic can you present the plan to the principal,2,3
clip_324,You know what? I think you should give it another shot.,2,2
clip_325,If alice is so brilliant then she'll be perfect for our plan.,2,3
clip_326,Bethany said that my plan sounds fantastic,2,4
clip_327,I suppose.,2,4
clip_328,Oh boy,2,1
clip_329,Do you know what this means,2,2
clip_33,i suppose,1,3
clip_330,Bethany said that my plan sounds fantastic.,2,4
clip_331,Nah it's all good I don't need any assistance,2,4
clip_332,"No don't worry, you smell great.",2,4
clip_333,No don't worry you smell great,2,4
clip_334,"No don't worry, you smell great.",2,4
clip_335,No dont worry you smell great,2,4
clip_336,No its great you should be very proud,2,4
clip_337,no its great you should be very proud,2,3
clip_338,"No, it's great. You should be very proud.",2,4
clip_339,No problem.,2,4
clip_34,Thanks for holding the door.,1,3
clip_340,Of course,2,4
clip_341,Of course,2,4
clip_342,Of course,2,4
clip_343,Of course,2,4
clip_344,Oh boy,2,2
clip_345,Okay great,2,4
clip_346,Please don't get up,2,4
clip_347,Really?,2,3
clip_348,Really,2,4
clip_349,Really?,2,3
clip_35,I suppose.,1,1
clip_350,really,2,4
clip_351,I saw the sheet and I'm thrilled about the changes.,2,4
clip_352,I saw the sheet and I am thrilled about the changes.,2,4
clip_353,So true,2,4
clip_354,Steph is just way ahead of the curve on this one.,2,4
clip_355,Thanks for opening the door.,2,4
clip_356,The band is going to have a break up now,2,2
clip_357,The other team was unbelievable. I'm surprised if they don't win.,2,4
clip_358,The plan is to get there early and beat the lines,2,4
clip_359,The plan is to get there early and beat the lines,2,2
clip_36,I suppose,1,99
clip_360,The plan is to get there early and beat the lines.,2,4
clip_361,The plan is to get that early and beat the lines.,2,4
clip_362,The traffic moved along at a decent pace so I was still on time,2,2
clip_363,took a quick walk around campus to clear my mind,2,4
clip_364,Why don't we try something else?,2,4
clip_365,Tyler is just going to write the whole script himself.,2,2
