File	Text	Initial Label - 2	Initial label - 4	Turks Label	UCDCC label - 2	UCDCC label w/ turk label's formatting	UCDCC label - 4	index
clip_1000	You want to see something Irish? Of all the reasons to be closed.	1	3	1	1	2	1	169
clip_1001	"American Red Cross van, ""together we can save lives"", and the driver is smoking."	1	2	1	1	2	1	459
clip_1002	180 dead on 26 11 and more than 10k our people killed in terror attacks to date but not one Paki shows sympathy for them?	1	2	0	0	1	0	48
clip_1003	"Opened it in IE? Google Scholarship application kept crashing in Chrome. Opened in IE, finished application without incident."	1	2	0	1	2	1	474
clip_1004	20 years ago I arrived in CR happy to leave behind all the malls and rampant materialism if the US went Xmas shopping in prg today	1	2	1	0	1	0	695
clip_1005	"20 years ago, I arrive in CR. Happy to leave behind all the malls that rampant materialism in the US. Went Christmas shopping in the PRG today."	1	2	1	0	1	0	695
clip_1006	Gun nut yells at cops conducting DUI checkpoint.  Later hit by a drunk driver on way home.	1	2	1	1	2	1	478
clip_1007	"Where is the promise of peace on earth in this? Lord they kingdom come, thy will be done."	1	2	1	1	2	1	511
clip_1008	"Zuma reads the quote, ""People are not fighting for ideas, they fight for material benefits, to live in peace.""."	1	2	2	1	2	1	533
clip_1009	"Decided to go to bed early for once, I have been lying there since 2am, yet the total amount of sleep I have had all week is 10 hours."	1	2	0	1	2	1	539
clip_1010	"More people are in prison because of drug related crimes, but you know, gun crime is up."	1	2	1	0	1	0	560
clip_1011	My entire career has been devoted to being a boss  and beating corruption but I get beat in a corrupt election.	1	2	1	1	2	1	571
clip_1012	"A republican move, which will effectively rob the royals. Kate's spending 32K on one meal. Who's being robbed?"	1	2	1	0	1	0	139
clip_1013	"A Republican move, which will effectively rob the royals. Kate's spending 32K on one meal! Who is being robbed!"	1	2	1	0	1	0	139
clip_1014	abnormal professor walks in with the finals in his zoloft bag	1	2	1	0	1	0	352
clip_1015	"Being a hipster now is so mainstream. Oh, the irony!"	1	2	1	1	2	3	32
clip_1016	Christian Europe translated Islamic manuscripts	1	2	0	0	1	0	188
clip_1017	Christian Europe translated Islamic manuscripts.	1	2	1	0	1	0	188
clip_1018	Consensus of absolute hilarious irony Michael Man to lecture on professional ethics for climate scientist.	1	2	0	0	1	0	266
clip_1019	Consensus of absolute hilarious irony.  Michael Man to lecture on professional ethics for climate scientist.	1	2	1	0	1	0	266
clip_1020	"Everyone wants the truth, but nobody wants to be honest."	1	2	1	0	1	0	240
clip_1021	Everyone wants the truth. No one wants to be honest.	1	2	1	0	1	0	240
clip_1022	"Garner protesters chant, ""Fuck Fox News', despite Fox agreeing with them."	1	2	1	0	1	0	88
clip_1023	"Garner protesters chant, ""Fuck Fox News."", despite Fox News agreeing with them."	1	2	1	0	1	0	88
clip_1024	"Gavey is one rude mother fucker, sub-tweets me calls me a mother fucker."	1	2	0	0	1	0	166
clip_1025	Gabby is one rude mother fucker. Subtweets me; calls me a mother fucker.	1	2	1	0	1	0	166
clip_1026	"Girls won't answer their phone when I'm calling because they think I'm calling them in early, but I'm actually calling to cut them."	1	2	1	0	1	0	753
clip_1027	"Girls won't answer their phone, when I'm calling them, because they think I'm calling them in early. But I am actually calling to cut them."	1	2	1	0	1	0	753
clip_1028	"Hazard worker training, first break there was three dozen donuts and half the class outside to smoke."	1	2	1	0	1	0	740
clip_1029	Hazard worker training. First break there was three dozen donuts and half the class outside to smoke.	1	2	0	0	1	0	740
clip_1030	I just drank a healthy homemade all fruit smoothie in a Budweiser beer glass.	1	2	1	1	2	3	173
clip_1031	How can you miss something you've never had?	1	2	1	0	1	0	683
clip_1032	How is it possible that somebody so interesting is also so so so boring	1	2	1	0	1	0	143
clip_1033	How is it possible that somebody so interesting is also so so boring?	1	2	1	0	1	0	143
clip_1034	how's it possible that somebody so interesting is also so so boring	1	2	1	0	1	0	143
clip_1035	"I do hope you anti-gaming gaters will sleep better, knowing that sabotaging charities will make you more respectable in society!"	1	2	1	0	1	0	733
clip_1036	"I do hope you anti-gamer gaters will sleep better, knowing that sabotaging charities will make you more respectable in society!"	1	2	1	0	1	0	733
clip_1037	"I just drank a healthy, homemade, all fruit smoothie. In a budweiser beer glass.."	1	2	1	1	2	3	173
clip_1038	"I like the feeling when people think their two steps ahead of me, but the truth is they're miles and miles behind me."	1	2	1	1	2	1	431
clip_1039	I may or may not have put Robert Ashton at the top of swarm tweets trees soons as he likes christmas time.	1	2	1	0	1	0	268
clip_1040	I may or may not have put Robert Ashton at the top of swarm tweets tree soon as he likes Christmas time.	1	2	1	0	1	0	268
clip_1041	IBN Live is the first to cut ads during prime time to proudly announce that they're putting journalism first.	1	2	0	0	1	0	146
clip_1042	IBN Live is the first to cut two ads during primetime to proudly announce that they're putting journalism first	1	2	0	0	1	0	146
clip_1043	"Incidentally the forward for a movie Bhopal: A prayer for rain is by Sarota ray Sahara saying ""Justice delayed is justice denied."""	1	2	0	0	1	0	115
clip_1044	"Incidentally the forward for movie Bhopal: A prayer for rain is by Subrata Roy Sahara saying ""Justice delayed is justice denied."""	1	2	0	0	1	0	115
clip_1045	"And as much as I do not want to connect, I like only the people who don't want to."	1	2	1	0	1	0	299
clip_1046	just wait til Cleveland comes again	1	2	2	1	2	3	286
clip_1047	Is the basketball game on today? I'm not really sure.  ESPN seem to not be promoting anything about it.	1	2	0	0	1	0	313
clip_1048	"Also, It is funny how things at work get done when I am on my off week."	1	2	1	1	2	1	332
clip_1049	"SpaceX, told to stop work under crew contracts."	1	2	2	0	1	0	343
clip_1050	My dad's still going to get me Santa's gifts. Since it is my last year before 18. But I really don't know what to ask for.	1	2	0	0	1	0	275
clip_1051	Just wait till Cleveland comes again!	1	2	1	1	2	3	286
clip_1052	"And as much as I want to connect, I like only the people who don't want to."	1	2	1	0	1	0	299
clip_1053	Is there a basketball on today? I'm not really sure. ESPN seems to not be promoting anything about it	1	2	0	0	1	0	313
clip_1054	"Also, it's funny how things at work get done when I'm off on my week."	1	2	1	1	2	1	332
clip_1055	SpaceX told us to stop work under crew contracts!	1	2	0	0	1	0	343
clip_1056	Yet in Ferguson MO the mayor and gov are dems.	1	2	1	0	1	0	351
clip_1057	Just realized we missed it too. In the middle of a tech trouble shooting mission to get an article on madeba up on the site.	1	2	1	0	1	0	591
clip_1058	"Anybody using their rights to protest legally , gets the law thrown  at them . And the ones who do the crimes don't. Thats irony not justice"	1	2	1	1	2	1	593
clip_1059	A puppet at the PTI rally wanting to make Nia Pakistan.	1	2	0	1	2	1	596
clip_1060	KID WHO TRIED STEALING TOOLS FROM ME IS NOW MAD CUZ SOMEONE TOOK HIS HOT SAUCE OUT OF THE FRIDGE AT WORK	1	2	1	1	2	1	608
clip_1061	"driving into town on very well cleaned country roads, I see a tow truck veer off too far to shoulder and get sucked into the ditch"	1	2	0	0	1	0	616
clip_1062	Laptop speakers are too quiet for music and simply too loud for porn.	1	2	0	1	2	1	627
clip_1063	"the elections are not over, but about whether there will be a zionist or extremist country here."	1	2	0	0	1	0	638
clip_1064	"Get on the work bus. Driver turns his music on, and the first song on is, Another Day in Paradise."	1	2	1	1	2	1	651
clip_1065	I popped at PTI rally wanting to make Nia Pakistan.	1	2	2	1	2	1	596
clip_1066	Anybody using their rights to protest legally gets the law thrown at them and the ones who do the crimes don't. That's irony not justice.	1	2	1	1	2	1	593
clip_1067	Driving into town on very clean county road I see a tow truck veer off too far to shoulder and get sucked into ditch.	1	2	2	0	1	0	616
clip_1068	"Get on the work bus, driver turns his music on and the first song on is another day is a paradise."	1	2	0	1	2	1	651
clip_1069	Get an article up on this site.	1	2	0	0	1	0	591
clip_1070	"Kid who tried stealing tools from me is now mad, cause someone took his hot sauce out of the fridge at work."	1	2	1	1	2	1	608
clip_1071	Laptop speakers are too quiet for music and simply too loud for porn	1	2	0	1	2	1	627
clip_1072	"The elections aren't over, till the 18th. But about whether there will be a Zionist or Extremist country here."	1	2	0	0	1	0	638
clip_1073	"Yet, in Ferguson, MO the mayor and gov are dems."	1	2	2	0	1	0	351
clip_1074	"My dad still has to get me gifts since it's my last year before 18, But really I don't know what to ask for."	1	2	2	0	1	0	275
clip_1075	Just walked into a Starbucks and asked for a tall blonde.	1	2	0	1	2	3	2
clip_1076	One of the godfathers of Asian values? Malaysians are stupid. Don't even know how to run an airline.	1	2	0	0	1	0	684
clip_1077	"What of the godfathers of Asian values? Malaysians are stupid, don't know how to run an airline."	1	2	0	0	1	0	684
clip_1078	painting all cops with a broad brush is the same logic racists use	1	2	1	1	2	1	63
clip_1079	"Prison book ban? Of course, Grayling is also trying to ban judicial reviews."	1	2	0	0	1	0	755
clip_1080	Re: prison book ban - Of course Grayling is also trying to ban Judicial Reviews	1	2	1	0	1	0	755
clip_1081	Rangers league game with Alowa game moved because of the petra cup final in April.	1	2	0	0	1	0	51
clip_1082	Reverend tells kids Santa's not real. Why declaring sky fairy is? Because the book says so	1	2	1	0	1	0	750
clip_1083	Reverends tells kids Santa's not real why declaring a sky fairy is because a book said so.	1	2	1	0	1	0	750
clip_1084	"Abnormal professor walks in, with the finals in a Zoloft bag."	1	2	1	0	1	0	352
clip_1085	sub is making class go so slow as I feel like I am losing brain cells	1	2	0	1	2	1	359
clip_1086	The song was Don't Cry for me Argentina	1	2	2	0	1	0	372
clip_1087	the irony is anti state people who claim the little man won when in reality the state won	1	2	1	1	2	1	414
clip_1088	"We are miles apart, but she found me. Now we are close enough, still apart."	1	2	1	0	1	0	457
clip_1089	Final labs course works submitted. Now to treat myself by catching up with the whole semesters lectures.	1	2	1	0	1	0	559
clip_1090	"American Red Cross van, together we can save lives. And the driver is smoking!"	1	2	1	1	2	1	459
clip_1091	"Google Scholarship Application kept crashing in Chrome; opened it in IE, finished the application without incdient."	1	2	1	1	2	1	474
clip_1092	"Gun nut yells at cops conducting a DUI checkpoints. Later, hit by a drunk driver on the way home."	1	2	1	1	2	1	478
clip_1093	"Where is the promise of peace on earth in this: Lord thy kingdom come, thy kingdom will be done."	1	2	0	1	2	1	511
clip_1094	"Zerma reads the quote ""People are not fighting for ideas, they fight for material beliefs to live in peace."""	1	2	2	1	2	1	533
